NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,COMERCIO VAREJISTA,829,5622704.872395515
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,,INDUSTRIA,596,5.873448093327427E7
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,,OUTROS SEGMENTOS,267,1539200.9405498505
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,OUTROS SEGMENTOS,,88,4383036.698776245
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,SERVICOS DE COMUNICACAO,33,531276.8715820312
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE COMUNICACAO,474,5589303.51451242
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,SERVICOS DE TRANSPORTE,10,45537.47997093201
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,PRODUTOR AGROPECUARIO,,338,1.5346442510098398E7
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,,COMBUSTIVEL,539,6.906953035084915E7
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,COMERCIO ATACADISTA,2668,8.97667957757616E7
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,SERVICOS DE TRANSPORTE,COMERCIO VAREJISTA,96,427148.70037841797
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,INDUSTRIA,INDUSTRIA,32,594392.1968994141
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,COMBUSTIVEL,2,51743.80859375
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,,CONSTRUCAO CIVIL,50,793109.267539978
