NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
CE,SC,CEARA,SANTA CATARINA,NE,S,Nordeste,Sul,ENERGIA ELETRICA,,97,1.4718856968306065E7
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,33,661526.3639450073
AC,CE,ACRE,CEARA,N,NE,Norte,Nordeste,,,18,26845.25930595398
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,,ENERGIA ELETRICA,6,5436241.850097656
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,ENERGIA ELETRICA,ENERGIA ELETRICA,7,1.641035067993164E7
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,INDUSTRIA,COMBUSTIVEL,6,106256.11376953125
CE,TO,CEARA,TOCANTINS,NE,N,Nordeste,Norte,ENERGIA ELETRICA,,82,1714847.476934433
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,4,257656.30078125
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,PRODUTOR AGROPECUARIO,3,6674.8798828125
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,1,150.6999969482422
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,OUTROS SEGMENTOS,COMERCIO ATACADISTA,2,7793.75
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMBUSTIVEL,1,216.27999877929688
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,1,5000.0
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,20,601384.0207519531
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,,8,113057.82650756836
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,,7,8789.5
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,SERVICOS DE COMUNICACAO,,6,18380.450325012207
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,ENERGIA ELETRICA,ENERGIA ELETRICA,61,3.804777703564453E7
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,COMERCIO VAREJISTA,17,731576.2998046875
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,SERVICOS DE COMUNICACAO,2,58864.45861816406
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,SERVICOS DE COMUNICACAO,6,657519.0
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,COMERCIO ATACADISTA,INDUSTRIA,2,7824.89990234375
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,COMBUSTIVEL,10,135479.2410888672
CE,RR,CEARA,RORAIMA,NE,N,Nordeste,Norte,INDUSTRIA,COMERCIO VAREJISTA,2,8636.35986328125
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,COMERCIO VAREJISTA,1,19.75
CE,MT,CEARA,MATO GROSSO,NE,CO,Nordeste,Centro-Oeste,,,1,866.25
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,COMBUSTIVEL,1,15469.599609375
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,SERVICOS DE TRANSPORTE,INDUSTRIA,45,167610.0
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,INDUSTRIA,1,51351.4296875
MS,CE,MATO GROSSO DO SUL,CEARA,CO,NE,Centro-Oeste,Nordeste,,PRODUTOR AGROPECUARIO,1,965.4000244140625
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,PRODUTOR AGROPECUARIO,1,11.34000015258789
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,CONSTRUCAO CIVIL,2,73240.0
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,7,9104.210021972656
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,SERVICOS DE COMUNICACAO,,2,3175.0999145507812
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE TRANSPORTE,3,9603.940200805664
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE COMUNICACAO,2,941.989990234375
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,1,64.0
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,ENERGIA ELETRICA,2481,5.57441771859498E7
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,,150,7873629.06457901
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,COMERCIO ATACADISTA,,2883,1.83712585552606E7
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,COMERCIO VAREJISTA,,1986,9482884.217815034
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,COMERCIO ATACADISTA,3310,7.977963835843603E7
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,,ENERGIA ELETRICA,423,1.1257150645410538E7
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,OUTROS SEGMENTOS,397,1.1385373065307617E7
CE,MS,CEARA,MATO GROSSO DO SUL,NE,CO,Nordeste,Centro-Oeste,INDUSTRIA,,2677,3.4639900145840645E7
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,,OUTROS SEGMENTOS,1952,1.7136803127515078E7
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,16527,4.2084259574558616E8
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,SERVICOS DE TRANSPORTE,,976,1.959533091094236E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,PRODUTOR AGROPECUARIO,245,782233.4453649521
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,7,887.6199951171875
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,PRODUTOR AGROPECUARIO,6344,1.7230489759623414E8
CE,RO,CEARA,RONDONIA,NE,N,Nordeste,Norte,INDUSTRIA,,1514,1.4099623183463916E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,98732,6.04833149598143E8
TO,CE,TOCANTINS,CEARA,N,NE,Norte,Nordeste,,ENERGIA ELETRICA,121,1850049.4416484833
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,409601,9.117727688508861E8
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,40365,7.444788335601635E8
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,18430,1.1265762891070147E8
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,INDUSTRIA,,14887,2.3184468499315858E8
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,51,839651.8170166016
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,,1132,3791859.365524769
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,5424,3.653452193523981E7
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMERCIO VAREJISTA,102,2589558.8984375
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,INDUSTRIA,,8612,1.310923199423112E8
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,,COMERCIO ATACADISTA,1974,3.3596196478710175E7
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,,127,1220090.7319812775
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,COMERCIO ATACADISTA,899,7180525.162095794
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,,OUTROS SEGMENTOS,3723,4.776533703837229E7
CE,RO,CEARA,RONDONIA,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,,164,1503837.482826233
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,,,945,1.0698197287987418E7
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,COMERCIO VAREJISTA,,1550,5467787.062775135
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,INDUSTRIA,,16590,2.5287455551733333E8
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,1,405.3500061035156
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,,13595,3.0651899538255572E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,CONSTRUCAO CIVIL,14,25425.039825439453
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,CONSTRUCAO CIVIL,1047,2.613496604783821E7
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,293,1.5354413987265095E7
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,169,2435632.61561203
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,INDUSTRIA,93,3291665.612510681
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,COMERCIO VAREJISTA,3522,1.5777906131671906E7
CE,SC,CEARA,SANTA CATARINA,NE,S,Nordeste,Sul,COMERCIO ATACADISTA,COMERCIO ATACADISTA,43,87754.94003677368
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,ENERGIA ELETRICA,1167,2.8117015483554184E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,ENERGIA ELETRICA,1067,3670907.226855278
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,3388,1.2361334640765417E8
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,COMERCIO ATACADISTA,2955,4.9344153388718486E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,PRODUTOR AGROPECUARIO,5580,4.494445435457553E7
MT,CE,MATO GROSSO,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,235,423702.24309921265
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,,COMERCIO VAREJISTA,8092,6.174457377677563E7
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMBUSTIVEL,4,540698.9699707031
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,51,4563627.981739223
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,,SERVICOS DE COMUNICACAO,55,2192461.092803955
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,344,2398615.9813843966
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,COMERCIO ATACADISTA,348,2.2109831411265373E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,,595,5706281.041557312
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,ENERGIA ELETRICA,,176,2.5727228029156685E7
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,,516,1922186.259243369
PA,CE,PARA,CEARA,N,NE,Norte,Nordeste,,,528,1.0670786607929945E7
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,,PRODUTOR AGROPECUARIO,977,8396076.184198856
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,1492,3.284175536407335E7
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,,SERVICOS DE TRANSPORTE,408,7532504.379955053
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMERCIO VAREJISTA,241,7457613.002197266
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,246,717557.7092313766
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,500,4665945.5127391815
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,,CONSTRUCAO CIVIL,226,5675871.006267548
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,13,1206359.946762085
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,539,5291172.961181641
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,,PRODUTOR AGROPECUARIO,1465,1.6587801799754977E7
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,,OUTROS SEGMENTOS,136,3020889.6873931885
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,ENERGIA ELETRICA,,225,1.900232832807249E7
MT,CE,MATO GROSSO,CEARA,CO,NE,Centro-Oeste,Nordeste,,COMERCIO VAREJISTA,100,5771877.500713348
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,OUTROS SEGMENTOS,57,4060799.7042541504
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,PRODUTOR AGROPECUARIO,124,1763556.8045043945
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMERCIO VAREJISTA,8,1050053.823272705
AL,CE,ALAGOAS,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,129,4327457.720607758
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,,CONSTRUCAO CIVIL,237,2864123.362783432
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,PRODUTOR AGROPECUARIO,,49,3793268.5615844727
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,64,1108999.7442016602
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,,8,196276.6141204834
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,COMERCIO ATACADISTA,24,1976568.5123291016
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,6,45928.38049316406
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMBUSTIVEL,76,1054513.5305328667
RO,CE,RONDONIA,CEARA,N,NE,Norte,Nordeste,,COMERCIO ATACADISTA,186,1.339028384626007E7
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,PRODUTOR AGROPECUARIO,,14,503532.70000076294
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,SERVICOS DE TRANSPORTE,,10,523417.53872680664
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,OUTROS SEGMENTOS,5,233568.80908203125
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,ENERGIA ELETRICA,53,1.2828503747276306E7
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,50,87727.73005485535
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,1556,3429760.1684889793
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMBUSTIVEL,2,510000.0
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,31,320510.130859375
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,47,118121.31063461304
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,SERVICOS DE TRANSPORTE,597,6.811044188719642E7
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,INDUSTRIA,48,2267860.876159668
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,,PRODUTOR AGROPECUARIO,40,1846336.0329546928
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,39,170465.75982666016
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,68,1639222.9870376587
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,11,189299.759765625
CE,MS,CEARA,MATO GROSSO DO SUL,NE,CO,Nordeste,Centro-Oeste,ENERGIA ELETRICA,,102,1.3466998622158289E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,CONSTRUCAO CIVIL,95,419425.5202026367
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,,,2,6807.929992675781
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,CONSTRUCAO CIVIL,6,1084827.669921875
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,,7,222869.61010742188
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,PRODUTOR AGROPECUARIO,3,26571.359771728516
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,68,813509.054101944
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,INDUSTRIA,25,995809.9891357422
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,87,221874.6103439331
MT,CE,MATO GROSSO,CEARA,CO,NE,Centro-Oeste,Nordeste,,CONSTRUCAO CIVIL,47,243407.956741333
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,,SERVICOS DE COMUNICACAO,205,6663502.258111954
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,CONSTRUCAO CIVIL,13,76327.48984527588
CE,DF,CEARA,DISTRITO FEDERAL,NE,CO,Nordeste,Centro-Oeste,COMBUSTIVEL,,36,564553.7409210205
CE,BA,CEARA,BAHIA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,363,1.513855713356018E7
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMBUSTIVEL,21,749797.5027389526
AC,CE,ACRE,CEARA,N,NE,Norte,Nordeste,,SERVICOS DE COMUNICACAO,1,11480.0
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMBUSTIVEL,1145,2.4984288040489197E7
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,,COMBUSTIVEL,11,66949.0805053711
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,OUTROS SEGMENTOS,10,72934.90936279297
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,4,88299.0
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,OUTROS SEGMENTOS,,10,43090.37998962402
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,ENERGIA ELETRICA,7,207726.23937416077
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,8,128355.74658203125
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,SERVICOS DE COMUNICACAO,4,427472.78125
CE,AC,CEARA,ACRE,NE,N,Nordeste,Norte,OUTROS SEGMENTOS,,5,161539.0
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,SERVICOS DE COMUNICACAO,10,432175.15853881836
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,INDUSTRIA,2,2295.9300537109375
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,INDUSTRIA,149,7278012.063147657
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,3,702553.3984375
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,COMERCIO ATACADISTA,10,224697.41064453125
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,SERVICOS DE TRANSPORTE,20,198042.80606079102
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,8,42775.71081542969
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE COMUNICACAO,7,42213.249588012695
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,,SERVICOS DE COMUNICACAO,13,52479.249572753906
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,SERVICOS DE COMUNICACAO,SERVICOS DE COMUNICACAO,4,52823.72970581055
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,SERVICOS DE TRANSPORTE,3,3016.02001953125
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,9,23203.280433654785
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,PRODUTOR AGROPECUARIO,4,107468.181640625
CE,SC,CEARA,SANTA CATARINA,NE,S,Nordeste,Sul,SERVICOS DE COMUNICACAO,INDUSTRIA,1,712.3099975585938
MS,CE,MATO GROSSO DO SUL,CEARA,CO,NE,Centro-Oeste,Nordeste,,SERVICOS DE COMUNICACAO,6,162228.029296875
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,SERVICOS DE COMUNICACAO,14,184293.3701171875
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,1,1016.27001953125
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,,SERVICOS DE TRANSPORTE,5,159724.490234375
CE,RO,CEARA,RONDONIA,NE,N,Nordeste,Norte,ENERGIA ELETRICA,,36,3319824.542490214
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,SERVICOS DE TRANSPORTE,34,124263.4912109375
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,SERVICOS DE COMUNICACAO,INDUSTRIA,2,11699.0
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,SERVICOS DE COMUNICACAO,SERVICOS DE COMUNICACAO,2,54.60000228881836
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,SERVICOS DE COMUNICACAO,COMERCIO VAREJISTA,7,13783.070022583008
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMBUSTIVEL,1,776.4500122070312
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,34,2001435.157218933
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,SERVICOS DE TRANSPORTE,SERVICOS DE TRANSPORTE,83,2389410.0749282837
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,SERVICOS DE COMUNICACAO,CONSTRUCAO CIVIL,1,3132.800048828125
CE,RJ,CEARA,RIO DE JANEIRO,NE,SE,Nordeste,Sudeste,COMERCIO ATACADISTA,COMERCIO VAREJISTA,15,17930.150144577026
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,ENERGIA ELETRICA,5,3003.9299926757812
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,1,222360.0
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,19,510894.220703125
TO,CE,TOCANTINS,CEARA,N,NE,Norte,Nordeste,,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,6,448403.64013671875
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,ENERGIA ELETRICA,INDUSTRIA,4,291820.078125
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,INDUSTRIA,28,21360.48019528389
